length,pattern,mean_hamming_distance,std_hamming_distance,num_samples
128,all_0s,1.05,1.0365128915546464,40
128,all_1s,1.325,1.141018438467616,40
128,alternating_0_start,3.95,2.3419255719632472,40
128,alternating_1_start,4.0,2.2758486723609677,40
256,all_0s,2.6,1.7802333468483196,40
256,all_1s,1.9,1.565657066947309,40
256,alternating_0_start,7.875,3.2517253802739785,40
256,alternating_1_start,7.0,2.7735009811261455,40
512,all_0s,5.175,1.8100502897107724,40
512,all_1s,5.375,1.8072148851272891,40
512,alternating_0_start,14.55,3.2577324188491166,40
512,alternating_1_start,15.75,3.814614272935345,40
